Date,Not indexed,Indexed,Impressions
2026-06-04,,,7
2026-06-05,72,40,7
2026-06-06,134,65,12
2026-06-07,134,65,9
2026-06-08,134,65,12
2026-06-09,179,72,25
2026-06-10,179,72,35
2026-06-11,179,72,34
2026-06-12,179,72,32
2026-06-13,432,142,35
2026-06-14,432,142,41
2026-06-15,432,142,45
2026-06-16,432,142,28
2026-06-17,432,142,32
2026-06-18,432,142,42
2026-06-19,432,142,33
2026-06-20,432,142,42
2026-06-21,432,142,43
2026-06-22,432,142,43
2026-06-23,432,142,44
2026-06-24,432,142,48
2026-06-25,432,142,25
2026-06-26,432,142,27
2026-06-27,432,142,55
2026-06-28,432,142,24
2026-06-29,432,142,19
2026-06-30,432,142,19
