Reason,Source,Validation,Pages
Not found (404),Website,Not Started,80
Alternate page with proper canonical tag,Website,Not Started,72
Page with redirect,Website,Not Started,42
Excluded by ‘noindex’ tag,Website,Not Started,10
Duplicate without user-selected canonical,Website,Not Started,5
Blocked due to access forbidden (403),Website,Not Started,4
Soft 404,Website,Not Started,2
Blocked by robots.txt,Website,Not Started,1
Discovered - currently not indexed,Google systems,Not Started,180
Crawled - currently not indexed,Google systems,Not Started,36
"Duplicate, Google chose different canonical than user",Google systems,N/A,0
